user_id,article_1,article_2,article_3,article_4,article_5
200079,336254,331116,157478,97530,202381
200080,331116,157478,336254,255747,199372
200081,234698,336221,95716,119193,336223
200082,272143,156447,162765,156560,158536
200083,96210,336934,50504,245161,70215
200084,283009,331116,277107,39894,289003
200085,336223,59057,48403,225019,270229
200086,284985,124337,293114,124748,123289
200087,331116,289003,157478,97530,57966
200088,272143,162765,156560,348111,156447
200089,277107,352979,39894,283009,289003
200090,233717,313431,157702,284416,297639
200091,354086,336220,156843,283627,284096
200092,123289,338340,315088,124734,124194
200093,277107,352979,39894,289003,336254
200094,31836,59057,133160,58837,303180
200095,331116,157478,336254,289003,218028
200096,234698,336221,315105,288743,300082
200097,315105,235870,235616,300082,119193
200098,277107,352979,283009,336254,331116
200099,285377,65991,225010,271262,285675
200100,20691,336245,288440,96210,183176
200101,336221,235616,234698,95716,156964
200102,293301,257291,156723,159762,285719
200103,336220,235854,235084,234814,234267
200104,293513,288528,342452,205869,168637
200105,336221,32082,29953,234698,42223
200106,97530,289003,157478,57966,285849
200107,57748,42770,42225,181470,159275
200108,336245,20691,288440,233742,300234
200109,272143,199198,64329,156560,156624
200110,293114,123289,124350,284985,124748
200111,331116,157478,97530,336254,166322
200112,234698,336221,156964,236338,156052
200113,123909,237524,236207,95972,299152
200114,96210,270607,336245,293513,50504
200115,272143,162765,156560,158536,348111
200116,161506,236553,133160,161801,63307
200117,336220,289090,337192,234267,235854
200118,119193,336223,48403,59057,31836
200119,293513,288528,337143,57748,336245
200120,332461,331116,336254,157478,289003
200121,183176,119534,159938,215674,354086
200122,218028,157478,289003,199372,158541
200123,264771,336254,157478,331116,289003
200124,271262,285377,236610,284773,225010
200125,234698,156964,235870,236338,300082
200126,331116,336254,289003,57966,202355
200127,272143,160417,336476,156624,199197
200128,39894,277107,283009,42153,336254
200129,161801,64346,161506,71035,62567
200130,272143,156560,156624,64329,156447
200131,59057,288320,133160,214206,303180
200132,336254,39894,157478,289003,283009
200133,313431,284547,272143,271551,286161
200134,352979,39894,283009,30389,202320
200135,20691,96103,337441,233742,9308
200136,96210,20691,336245,236610,194289
200137,352979,283009,206415,158772,284470
200138,158536,156560,64329,199198,175040
200139,338350,272143,271551,285342,235440
200140,336245,183176,96210,111043,288440
200141,277107,235105,352979,30389,283009
200142,124350,313619,123289,124194,323949
200143,336223,315105,226595,95716,119193
200144,124194,123289,124350,128957,293114
200145,331116,336254,289003,166322,57966
200146,331116,336250,199474,237452,331780
200147,331116,157478,336254,218028,289003
200148,272143,156447,156560,162765,156624
200149,283009,277107,39894,352979,289003
200150,336254,289003,331116,277107,283009
200151,293513,96210,70215,265991,50504
200152,272143,233917,156624,64329,156560
200153,331116,202355,214753,336250,209236
200154,234698,300082,315105,352983,95716
200155,124194,124350,283392,236444,124177
200156,168623,123909,25325,161425,156625
200157,183176,159938,119534,307779,202388
200158,39894,352979,30389,283009,289003
200159,336223,119193,48403,159190,271261
200160,277107,39894,285908,30389,352979
200161,206415,235105,285908,277107,331116
200162,272143,156624,156560,160417,162655
200163,331116,202355,218028,199474,168761
200164,214474,336221,234698,300082,235870
200165,233717,257291,214800,276946,111210
200166,336254,218028,289003,157478,57966
200167,336221,315105,271261,352983,336223
200168,336220,277492,289090,235854,354086
200169,36162,277107,29872,235105,331116
200170,96210,270607,336934,70215,245161
200171,168623,124228,25325,156625,235804
200172,272143,156447,158536,156624,162655
200173,272143,233917,175040,336801,64329
200174,272143,156624,64329,156560,199198
200175,272143,162765,156560,158536,348111
200176,96210,66665,66672,336245,57616
200177,272143,64329,175040,182394,198659
200178,59057,214206,270799,133160,236553
200179,20691,96210,233742,337441,57616
200180,272143,199197,156560,235230,156624
200181,272143,156447,175040,156560,156624
200182,277492,337192,336220,289090,70214
200183,161506,161801,59131,63307,141004
200184,158536,199198,162655,64329,156560
200185,272143,64329,160417,156560,156624
200186,183176,159938,119534,277492,336220
200187,271551,235440,285342,284547,199197
200188,272143,156560,160417,156624,285343
200189,331116,218028,158541,202355,214753
200190,272143,348111,233917,156624,182513
200191,352979,336254,39894,202320,331116
200192,39894,352979,202320,331116,30389
200193,284547,199197,235230,271551,272143
200194,272143,162765,156560,156447,64329
200195,236444,124177,284422,236189,236951
200196,272143,64329,156624,156560,36605
200197,285377,58580,271262,284773,65991
200198,277107,39894,283009,336254,352979
200199,214658,331116,352121,289003,211722
200200,336223,234698,95716,156964,300082
200201,336221,161191,235616,234698,156964
200202,31836,133160,288320,214206,236553
200203,293513,270607,96210,158882,245041
200204,331116,157478,289003,57966,97530
200205,283009,352979,277107,331116,39894
200206,96210,332198,57616,236266,235468
200207,331116,283009,277107,352979,336254
200208,331116,289003,57966,285849,207603
200209,236444,95977,284422,283392,158915
200210,157478,336254,331116,57966,166322
200211,58580,20691,271262,225010,202416
200212,124748,124350,123289,338340,283392
200213,337143,57748,293513,235443,159275
200214,331116,157478,336254,357554,289003
200215,336221,95716,235870,293218,315105
200216,96210,271262,58580,225010,283764
200217,272143,156560,199198,156624,64329
200218,331116,157478,336254,218028,289003
200219,331116,218028,202355,158541,209236
200220,277107,352979,39894,289003,283009
200221,272143,336476,285343,156447,156624
200222,183176,118391,336220,129799,181585
200223,235616,289090,234269,32082,336221
200224,336221,42223,29953,235616,234698
200225,272143,233917,348111,64329,336801
200226,336220,277492,289090,354086,235854
200227,289090,336220,235854,235616,156843
200228,331116,157478,97530,289003,57966
200229,57748,96210,74722,209348,293513
200230,20691,336245,96210,183176,288440
200231,158536,272143,156447,156624,64329
200232,272143,336801,233917,160417,64329
200233,331116,289003,283009,352979,157478
200234,96210,58580,225010,20691,236610
200235,277107,235105,158772,50644,156279
200236,168416,277107,283009,50405,331116
200237,235616,32082,29953,236338,58565
200238,58606,233478,257291,297639,276946
200239,336220,158719,235854,289090,337192
200240,272143,162765,160417,64329,198659
200241,272143,156624,156560,199198,175040
200242,236444,283392,124748,124177,284422
200243,293114,301030,272218,124749,83534
200244,108855,286321,257291,293301,233717
200245,331116,289003,157478,202381,57966
200246,96210,271262,225010,20691,195032
200247,272143,182394,64329,175040,156560
200248,199198,64329,156624,175040,156560
200249,161506,161801,264771,87224,62567
200250,336220,289090,234267,337192,284096
200251,272143,199198,162655,156560,285343
200252,283009,331116,39894,30389,202381
200253,211442,50644,209122,30760,70986
200254,277492,354086,283627,337192,336220
200255,271262,225010,236610,58580,194289
200256,336221,235616,234698,95716,235870
200257,352979,39894,30389,283009,202320
200258,331116,336254,289003,57966,199372
200259,96210,20691,271262,336245,313920
200260,272143,199198,156560,156624,64329
200261,336221,234698,235616,29953,59681
200262,272143,156624,338350,336476,156560
200263,271262,58580,236610,313920,225010
200264,277107,283009,331116,289003,39894
200265,272143,158536,156447,199197,156624
200266,234698,336221,42226,336223,156964
200267,218028,336254,289003,199372,202355
200268,168623,123909,276970,317775,237524
200269,272143,156560,160417,198659,199198
200270,272143,162765,156560,156447,199198
200271,20691,233742,337441,284583,277067
200272,336220,337192,284096,235854,234267
200273,272143,162765,156560,156447,160417
200274,272143,156447,156560,162765,156624
200275,234698,315105,300082,293218,336223
200276,331116,202355,218028,214753,215613
200277,331116,202355,351364,336250,218028
200278,255354,211455,199474,160748,206763
200279,235616,336221,234698,29953,59681
200280,277107,283009,39894,331116,336254
200281,336245,20691,288440,233742,202476
200282,271262,284583,336245,283764,20691
200283,124194,283392,124177,124748,123757
200284,59057,288320,31836,133160,214206
200285,336254,97530,57966,202381,331116
200286,336254,331116,157478,289003,332461
200287,181585,119534,289090,336220,354086
200288,272143,162765,156447,156560,160417
200289,96210,58580,271262,236610,194289
200290,283009,277107,352979,202320,39894
200291,272143,36161,64329,156624,348111
200292,234698,336221,300082,315105,214631
200293,214474,234698,336221,300082,235870
200294,199197,284547,158192,313431,235230
200295,336223,315105,234698,129165,119193
200296,96210,58580,271262,225010,236566
200297,124194,124748,313619,123757,48962
200298,218028,289003,199372,57966,202355
200299,183176,181585,284339,119534,354086
200300,272143,199197,235230,156624,156560
200301,235616,183176,96210,235854,234269
200302,183176,181585,284339,159938,119534
200303,277107,352979,283009,30389,39894
200304,235854,284096,235616,234267,277492
200305,293114,123909,124748,96755,293050
200306,313242,124350,123289,320565,323949
200307,277107,73506,39894,352979,50494
200308,272143,156624,233917,182513,50823
200309,336220,277492,354086,289090,235854
200310,272143,162765,156560,156447,348111
200311,336223,48403,288320,124748,303180
200312,205052,123757,124748,124177,123289
200313,331116,202355,214753,158541,209236
200314,158536,272143,156447,156624,162765
200315,277107,235105,206415,218355,331116
200316,58580,96210,336245,225010,284773
200317,336221,95716,233625,315105,234813
200318,141004,87224,71035,87228,87231
200319,343256,293513,288528,108858,277492
200320,96210,57616,336245,233842,162107
200321,272143,64329,156560,198659,156624
200322,96210,283764,271262,284583,157375
200323,336254,331116,97530,57966,218028
200324,272143,158536,156447,64329,156624
200325,272143,156560,166583,160417,156624
200326,270607,245161,336245,158882,50504
200327,289090,235616,235854,234267,336787
200328,96210,20691,336245,288440,283437
200329,273395,156624,156560,175040,162655
200330,199198,160417,156560,175040,285343
200331,336254,289003,157478,331116,31927
200332,337192,336220,284096,277492,235854
200333,336245,20691,316300,183176,264033
200334,235616,234269,336221,336220,207848
200335,331116,199474,199372,351876,237822
200336,234698,336221,95716,235870,214474
200337,272143,162765,156560,64329,158536
200338,336221,235616,234269,161191,208237
200339,337143,209013,58619,57748,288528
200340,272143,64329,156560,160417,199198
200341,293301,257291,233717,289126,276946
200342,272143,199198,156624,64329,162655
200343,331116,36162,277107,50644,289003
200344,214576,31520,161506,161801,337651
200345,272143,233917,50864,64329,156624
200346,354086,277492,336220,352901,289090
200347,272143,199197,313431,284547,286161
200348,271262,236610,194289,57757,65991
200349,58580,271262,225010,313920,236566
200350,96210,284583,283764,75962,250043
200351,331116,157478,97530,57966,289003
200352,336245,168416,234269,156296,96210
200353,58606,233478,214800,160132,58193
200354,336220,337192,289090,284096,235854
200355,283009,39894,352979,202320,30389
200356,96210,20691,288440,118784,332198
200357,272143,95743,224171,156624,156560
200358,289090,235616,277491,337192,235854
200359,218028,157478,199372,336254,202355
200360,283009,39894,277107,352979,50494
200361,272143,348111,233917,181928,156624
200362,183176,181585,284339,111043,119534
200363,272143,348111,199198,64329,156624
200364,183876,202652,96210,8497,293513
200365,293513,57748,162817,270607,168416
200366,272143,156560,162765,156447,64329
200367,202355,162378,214753,209236,215613
200368,211442,30760,209122,36162,205824
200369,96210,285377,293513,236610,225010
200370,234698,300082,235870,293218,95716
200371,158536,272143,199197,64329,156619
200372,348111,336476,156447,199197,175040
200373,272143,235230,199197,156619,206934
200374,336220,183176,289090,277492,156839
200375,331116,218028,157478,289003,304640
200376,234698,336221,315105,235870,214631
200377,199198,64329,156624,156560,348111
200378,336220,284602,235854,337192,277492
200379,237822,199474,255354,343256,160748
200380,277492,119534,354086,159938,336220
200381,336221,235616,234698,156964,235870
200382,272143,348111,233917,181928,156624
200383,336245,20691,183176,96210,233688
200384,277107,39894,352979,30389,202320
200385,57748,245161,270607,336245,96210
200386,336221,234698,95716,235870,156964
200387,235616,352902,336221,234269,234698
200388,293114,293050,96755,123909,313996
200389,96210,336245,50504,285377,293513
200390,272143,16129,14868,156624,156560
200391,272143,348111,156560,64329,50864
200392,272143,175040,160417,156560,285343
200393,336245,20691,337441,288440,32088
200394,283009,352979,39894,289003,331116
200395,96210,271262,58580,313920,283764
200396,289090,337192,277492,284096,277491
200397,336380,129434,31520,97082,293114
200398,354086,277492,119534,307779,336220
200399,272143,156560,166583,160417,156624
200400,272143,160417,156624,199198,156560
200401,336223,48403,119193,59057,225019
200402,124350,123289,124734,182256,124194
200403,289090,235616,32082,207848,234698
200404,336254,331116,157478,97530,332461
200405,336221,234698,235870,300082,236338
200406,183176,284339,159938,119534,128260
200407,272143,156447,156560,162765,156624
200408,39894,73506,202320,277107,42567
200409,233717,214800,158536,156560,160132
200410,283009,331116,277107,336254,39894
200411,235105,277107,331116,202320,207758
200412,271551,235440,129029,199197,187065
200413,234698,336221,156964,300082,214631
200414,271262,58580,225010,236610,284773
200415,289090,277492,277491,235854,284096
200416,336221,234698,64409,235870,300082
200417,336221,234698,61698,300082,293218
200418,64329,156624,199198,156560,285343
200419,96210,271262,336245,225010,313920
200420,336220,337192,235854,277492,289090
200421,331116,271061,215613,202355,96141
200422,336220,337192,284096,277491,235854
200423,118391,336220,307779,128260,289090
200424,272143,286336,64329,156624,156560
200425,199474,206763,288528,57748,159266
200426,331116,87215,57966,218028,158179
200427,336223,62464,119193,181873,59057
200428,331116,157478,336254,57966,63304
200429,336220,337192,352901,235854,289090
200430,183176,336245,285533,348140,233742
200431,234698,336221,300082,293218,235870
200432,234698,156964,336221,300082,236338
200433,183176,336220,181585,159938,284339
200434,48403,288320,59057,303180,119193
200435,199198,175040,198659,156560,156447
200436,157478,331116,336254,289003,362914
200437,161506,161801,235652,141004,214283
200438,234698,336221,64409,236338,235870
200439,272143,158536,156447,156624,162655
200440,235105,206415,352979,30389,39894
200441,336220,235854,277492,70214,156843
200442,272143,50864,348111,64329,156624
200443,284985,293114,124749,274907,96755
200444,199198,156624,64329,348111,156560
200445,336221,156964,293218,235870,214631
200446,331116,157478,289003,207603,57966
200447,272143,64329,285343,156560,156624
200448,96210,271262,58580,194289,236610
200449,211442,36162,50644,30760,205824
200450,331116,57966,207603,157478,97530
200451,272143,156624,156560,64329,348111
200452,352979,39894,331116,30389,289003
200453,235854,289090,235616,337192,160142
200454,158772,235105,277107,74665,39894
200455,272143,348111,233917,336801,299767
200456,234698,336221,300082,235870,336223
200457,331116,157478,336254,166322,97530
200458,39894,50494,30389,159019,202320
200459,95716,315105,300082,293218,157076
200460,234698,336221,61698,293218,300082
200461,272143,156447,158536,156624,199198
200462,96210,284583,57616,237580,20691
200463,59057,288320,336223,133160,303180
200464,277107,283009,39894,352979,331116
200465,111043,47854,181585,119534,128260
200466,272143,156624,64329,199198,162655
200467,272143,156624,156560,160417,162655
200468,272143,348111,233917,181928,156624
200469,96210,57616,277067,71161,300234
200470,96210,284773,313920,194289,225010
200471,96210,271262,58580,225010,236566
200472,336380,158047,108856,124749,128551
200473,352979,283009,331116,39894,336254
200474,183176,284339,354086,159938,119534
200475,235854,336220,277492,337192,70214
200476,63307,161506,141004,236541,235525
200477,233717,284416,42883,233478,58606
200478,283009,352979,39894,30389,336254
200479,225124,124748,172576,124228,124352
200480,96210,58580,284773,313920,283764
200481,272143,156624,234000,182513,285343
200482,272143,156560,160417,162655,199198
200483,336221,156964,300082,235870,315105
200484,31520,63307,87174,133160,87232
200485,336221,300082,95716,271261,336223
200486,272143,64329,285343,156624,156560
200487,36162,277107,331116,337143,289003
200488,272143,162765,156560,158536,348111
200489,336220,289090,235616,160142,234269
200490,58580,336245,271262,313920,96210
200491,293513,337143,288528,208970,159275
200492,64409,336221,234698,235616,236338
200493,277107,331116,159019,73506,39894
200494,183176,181585,129799,354086,336220
200495,331116,157478,336254,166322,289003
200496,283009,39894,331116,202320,157478
200497,234698,336221,300082,214474,119193
200498,277492,289090,277491,235854,70591
200499,234698,300082,336223,315105,235870
200500,293513,336245,225010,194289,235287
200501,96210,271262,277067,284583,283764
200502,272143,156447,158536,156624,348111
200503,331116,157478,57966,289003,207603
200504,293513,168416,270607,336934,245161
200505,289090,337192,277491,284096,156843
200506,96210,285377,336245,225010,58580
200507,293114,123909,156355,272218,284985
200508,336221,234698,64409,236338,214474
200509,218028,336254,57966,289003,202355
200510,272143,64329,182394,156560,175040
200511,157478,336254,218028,199372,289003
200512,96210,271262,58580,225010,313920
200513,234698,64409,156964,300082,236338
200514,272143,156560,199198,198659,64329
200515,272143,158536,64329,156624,199198
200516,293050,124748,124350,124194,124734
200517,57616,20691,288440,300234,157375
200518,331116,157478,97530,57966,285849
200519,119193,336223,48403,42298,133160
200520,257291,58606,214800,159473,111210
200521,355160,355175,355163,96210,336245
200522,272143,199198,64329,156624,182394
200523,336221,234698,95716,235616,277491
200524,289090,337192,277491,234267,235854
200525,336254,331116,157478,289003,57966
200526,96210,293513,336245,235287,285675
200527,272143,47999,156560,156624,64329
200528,289090,235616,59681,337192,277491
200529,336254,331116,289003,157478,97530
200530,272143,156560,166583,160417,156624
200531,331116,202559,158541,209236,214753
200532,331116,36162,159019,57442,277107
200533,64329,348111,156624,199198,156560
200534,156622,235440,161100,157078,207994
200535,257291,233717,313431,58193,284452
200536,272143,199198,175040,198659,156447
200537,168623,25325,124228,156625,276970
200538,277107,39894,283009,157478,202381
200539,183176,233688,283505,234006,208562
200540,277107,362914,283009,39894,59423
200541,336220,289090,337192,235616,235854
200542,331116,336254,289003,166322,57966
200543,331116,289003,336254,157478,42285
200544,336245,183176,96210,156381,158094
200545,124194,236444,158915,284422,283392
200546,20691,336245,288440,233742,96127
200547,272143,158536,156447,285343,156624
200548,331116,277107,42567,97616,202320
200549,272143,158536,156447,348111,162765
200550,272143,156560,160417,156624,285343
200551,336220,235854,337192,234267,59681
200552,277107,352979,283009,336254,289003
200553,57748,293513,96210,235443,70215
200554,168623,36394,276970,95972,156625
200555,331116,277107,30389,42285,352979
200556,276970,257291,123909,299152,236207
200557,272143,64329,156560,160417,156624
200558,235616,32082,336221,352902,207848
200559,64329,156560,313431,235230,284547
200560,331116,157478,336254,97530,57966
200561,156560,160417,64329,162655,199198
200562,336221,234698,315105,293218,95716
200563,331116,202355,209236,214753,215613
200564,168743,30760,211442,209122,36385
200565,234698,336221,315105,235870,293218
200566,338339,272218,240233,301030,214474
200567,64409,234698,336221,236338,235870
200568,293513,265991,96210,270607,245161
200569,272143,162765,156560,64329,158536
200570,161506,59057,30611,285663,214206
200571,331116,157478,289003,207603,336254
200572,96210,20691,288440,233742,332198
200573,336220,337192,277491,284096,277492
200574,336220,289090,235854,277492,234267
200575,234269,336221,235616,32082,207848
200576,234698,336221,64409,235870,236338
200577,199197,313431,284547,156560,206934
200578,272143,156560,162765,64329,160417
200579,96210,58580,313920,236566,277067
200580,336220,336221,277491,289090,235616
200581,64329,348111,156624,199198,156560
200582,336254,277107,289003,352979,39894
200583,272143,64329,50864,156624,156560
200584,336254,157478,57966,97530,285849
200585,289090,277492,277491,119534,235854
200586,123826,124734,124350,123289,338340
200587,331116,343256,107302,199474,237822
200588,277107,283009,352979,39894,331116
200589,331116,218028,87194,87213,202355
200590,96210,225010,336245,285377,65991
200591,157478,331116,289003,97530,166322
200592,20691,336245,58580,233742,271262
200593,283009,194561,195034,277107,39894
200594,283392,236444,124748,124352,124194
200595,336254,36162,211442,289003,224730
200596,30389,202320,289003,331116,283009
200597,336254,218028,289003,157478,199474
200598,336220,289090,337192,235616,235854
200599,124177,236951,157844,123757,215861
200600,272143,156560,156624,199198,198659
200601,272143,2303,36161,64329,199198
200602,64329,348111,156624,199198,156560
200603,277492,215674,354086,119534,235854
200604,354086,277492,284096,215674,70591
200605,156624,64329,199198,156560,162655
200606,277107,39894,352979,331116,30389
200607,124177,124748,124352,123909,124228
200608,331116,157478,336254,207603,234195
200609,336220,354086,307779,235854,215674
200610,272143,348111,199198,156560,156624
200611,272143,175040,156624,199198,156560
200612,272143,162765,156560,158536,348111
200613,283009,39894,331116,289003,352979
200614,293301,257291,289126,159762,166377
200615,336221,271261,352983,315105,234698
200616,336254,331116,157478,289003,207603
200617,331116,336254,218028,157441,57966
200618,336220,289090,235616,235854,234267
200619,161506,286007,63307,161801,62567
200620,348111,64329,156624,199198,156560
200621,272143,348111,233917,156624,336801
200622,236444,123909,283392,124177,124352
200623,96210,225010,271262,194289,65991
200624,272143,156560,199197,156619,336476
200625,272143,158536,156560,156447,162655
200626,235616,336221,32082,235524,336220
200627,284985,293114,158906,124749,313996
200628,336245,288440,96127,233742,57616
200629,284985,293114,332385,274907,272218
200630,96210,336245,288440,57616,237580
200631,208094,157798,145169,207757,293513
200632,348112,183176,336245,348140,348089
200633,183176,119534,159938,284339,128260
200634,32082,29953,59681,235870,64409
200635,284985,337735,293114,313996,96755
200636,20691,336245,15653,233742,288440
200637,183176,159938,354086,119534,307779
200638,331116,336254,289003,57966,207603
200639,235854,284096,337192,336220,354086
200640,272143,158536,64329,156624,199198
200641,336254,277107,39894,352979,331116
200642,272143,156624,199198,160417,156560
200643,183176,159938,202388,235854,208360
200644,336254,218028,202355,199372,237822
200645,336245,96210,293513,49282,96986
200646,272143,156560,162765,156447,160417
200647,36162,206571,50644,158772,202320
200648,234281,199474,208981,208582,206763
200649,124350,123289,124748,124194,209200
200650,277107,352979,288827,206415,336254
200651,348112,128260,111043,119534,336245
200652,338339,272218,140528,284985,337735
200653,277107,352979,331116,283009,39894
200654,124748,124352,123757,236951,172576
200655,272143,140324,61741,66326,363173
200656,277107,39894,352979,336254,283009
200657,336380,158047,108856,68924,83534
200658,183176,159938,202388,206735,215674
200659,271262,225010,58580,236566,313920
200660,277492,336220,277491,289090,284096
200661,272143,162765,156560,64329,160417
200662,336254,39894,289003,331116,30389
200663,36162,50644,277107,336254,289003
200664,95716,271261,315105,119193,48403
200665,96210,271262,58580,332198,336245
200666,272143,121834,156624,156560,160417
200667,168623,108855,286321,226496,271921
200668,336220,337192,289090,234267,36399
200669,234698,336221,159790,282917,235870
200670,36162,277107,39894,336254,283009
200671,336254,331116,157478,289003,57966
200672,277107,331116,352979,283009,62465
200673,124194,124748,123290,236951,123818
200674,331116,157478,57966,97530,289003
200675,277492,119534,354086,215674,336220
200676,96210,336245,225010,271262,236610
200677,272143,156447,156560,162765,156624
200678,96210,20691,233742,194923,159529
200679,233717,257291,276946,198820,236220
200680,272143,156624,233917,156560,182513
200681,331116,336254,157478,74722,289003
200682,277107,235105,73506,30389,202320
200683,183176,336245,233688,348112,285533
200684,96210,271262,57616,96244,284583
200685,124194,236444,283392,206315,5387
200686,124177,124194,97512,123909,123818
200687,183176,336245,348112,233688,96210
200688,331116,157478,97530,289003,57966
200689,96210,336245,20691,233742,300234
200690,234698,300082,235870,315105,293218
200691,331116,277107,336254,289003,39894
200692,336220,289090,235616,234267,337192
200693,50644,36162,70986,277107,205958
200694,183176,354086,159938,119534,292726
200695,277492,336220,354086,235854,289090
200696,271262,58580,57616,20691,336245
200697,20691,336245,337441,32088,300234
200698,336220,289090,235616,235854,234267
200699,272143,64329,285343,156560,156624
200700,123289,124350,198817,29766,124194
200701,277107,352979,30389,202320,331116
200702,272143,156560,187065,156624,336476
200703,331116,207603,289003,57966,337165
200704,331116,202355,292508,209236,336250
200705,183176,159938,235854,336220,354086
200706,59057,31836,288320,133160,336223
200707,331116,336254,157478,218028,289003
200708,183176,336220,235854,307779,128260
200709,348113,337051,198199,133160,190999
200710,272143,156560,275192,348111,233917
200711,199198,175040,156560,285343,156447
200712,336221,29953,234698,32082,42226
200713,315105,352983,95716,271261,129165
200714,20691,336245,271262,225010,16087
200715,277107,283009,352979,39894,336254
200716,336254,331116,39894,157478,285849
200717,331116,202355,218028,237822,199372
200718,50494,277107,39894,202320,352979
200719,272143,156624,160417,156560,175040
200720,336220,277492,337192,289090,284096
200721,331116,336254,157478,289003,97530
200722,293114,96755,124749,293050,123826
200723,235287,293513,96210,336934,50504
200724,202355,331116,218028,58019,162378
200725,288440,183176,233688,233742,236610
200726,272143,162765,156560,348111,156447
200727,354086,336220,70591,235854,289090
200728,336221,156964,235870,336223,214631
200729,277107,207758,218355,285908,39894
200730,123757,124194,236951,124748,123290
200731,272143,156624,64329,199198,162655
200732,272143,158536,156447,64329,156624
200733,336223,59057,288320,235824,303180
200734,277492,307779,277491,354086,128260
200735,336220,119534,307779,70591,215674
200736,336245,20691,96210,182575,288440
200737,336254,218028,157478,57966,289003
200738,283009,39894,352979,331116,289003
200739,331116,336254,218028,207603,57966
200740,233717,160132,156622,58606,58193
200741,272143,233917,50864,348111,160417
200742,234698,315105,336223,300082,293218
200743,272143,162765,156560,64329,160417
200744,272143,162765,156560,158536,175040
200745,272143,348111,233917,156624,181928
200746,332385,293114,272218,284985,337735
200747,272143,158536,162765,156560,160417
200748,337143,199474,157774,234840,266024
200749,277492,119534,336220,215674,128260
200750,123289,124194,124177,124350,338340
200751,124194,236444,124177,36394,236951
200752,336254,157478,289003,202355,157815
200753,39894,331116,277107,352979,289003
200754,289003,331116,97530,57966,285849
200755,272143,158536,64329,156624,162655
200756,336245,183176,156381,233742,236512
200757,183176,336220,119534,181585,128260
200758,293513,336934,50504,245161,70215
200759,272143,95743,224171,156624,160417
200760,272143,199198,64329,156624,156560
200761,331116,218028,336254,97530,199372
200762,272143,348111,182513,285343,160417
200763,96210,336245,16087,271262,194289
200764,234698,95716,119193,336223,271261
200765,199198,348111,182394,156560,162655
200766,157478,289003,331116,57966,97530
200767,331116,157478,57966,97530,161179
200768,336220,235854,354086,277492,70591
200769,277107,352979,283009,336254,202320
200770,331116,336254,97530,289003,57966
200771,272143,64329,156624,233917,160417
200772,57748,337143,159275,57688,58619
200773,96210,337241,336245,284583,283402
200774,337192,284096,336220,36399,156843
